ARS_TaxRevenue;20211001;20:00;Tax Revenue (MoM);Argentina;ARS;1
USD_PersonalConsumptionExpendituresPriceIndex;20211001;12:30;Personal Consumption Expenditures - Price Index (YoY);United States;USD;1
USD_PersonalIncome;20211001;12:30;Personal Income (MoM);United States;USD;2
USD_CorePersonalConsumptionExpendituresPriceIndex;20211001;12:30;Core Personal Consumption Expenditures - Price Index (MoM);United States;USD;2
USD_PersonalSpending;20211001;12:30;Personal Spending;United States;USD;2
CAD_GrossDomesticProduct;20211001;12:30;Gross Domestic Product (MoM);Canada;CAD;2
ZAR_TotalNewVehicleSales;20211001;12:00;Total New Vehicle Sales;South Africa;ZAR;1
CZK_BudgetBalance;20211001;12:00;Budget Balance;Czech Republic;CZK;1
CLP_IMACEC;20211001;11:30;IMACEC;Chile;CLP;1
INR_FXReservesUSD;20211001;11:30;FX Reserves, USD;India;INR;1
EUR_EurConsumerPriceIndex;20211001;09:00;Consumer Price Index - Core (YoY);European Monetary Union;EUR;3
GBP_MarkitManufacturingPMI;20211001;08:30;Markit Manufacturing PMI;United Kingdom;GBP;2
TRY_Exports;20211001;08:00;Exports;Turkey;TRY;1
EUR_GreMarkitManufacturingPMI;20211001;08:00;Markit Manufacturing PMI;Greece;EUR;1
NOK_RegisteredUnemployment;20211001;08:00;Registered Unemployment s.a;Norway;NOK;1
EUR_EurMarkitManufacturingPMI;20211001;08:00;Markit Manufacturing PMI;European Monetary Union;EUR;1
EUR_GerMarkitManufacturingPMI;20211001;07:55;Markit Manufacturing PMI;Germany;EUR;2
EUR_FraMarkitManufacturingPMI;20211001;07:50;Markit Manufacturing PMI;France;EUR;1
EUR_ItaMarkitManufacturingPMI;20211001;07:45;Markit Manufacturing PMI;Italy;EUR;2
CHF_SVMEPurchasingManagers'Index;20211001;07:30;SVME - Purchasing Managers' Index;Switzerland;CHF;1
CZK_MarkitPMI;20211001;07:30;Markit PMI;Czech Republic;CZK;1
EUR_SpaMarkitManufacturingPMI;20211001;07:15;Markit Manufacturing PMI;Spain;EUR;2
EUR_AusUnemploymentRate;20211001;07:00;Unemployment Rate;Austria;EUR;1
EUR_AusUnemployment;20211001;07:00;Unemployment;Austria;EUR;1
HUF_PurchasingManagerIndex;20211001;07:00;Purchasing Manager Index;Hungary;HUF;1
EUR_NetMarkitManufacturingPMI;20211001;07:00;Markit Manufacturing PMI;Netherlands, The;EUR;1
HUF_TradeBalance;20211001;07:00;Trade Balance;Hungary;HUF;1
PLN_PurchasingManagerIndex;20211001;07:00;Purchasing Manager Index;Poland;PLN;2
EUR_FraBudget;20211001;06:45;Budget;France;EUR;1
AUD_RBACommodityIndexSDR;20211001;06:30;RBA Commodity Index SDR (YoY);Australia;AUD;1
RUB_HSBCManufacturingPMI;20211001;06:00;HSBC Manufacturing PMI	;Russia;RUB;1
EUR_GerRetailSales;20211001;06:00;Retail Sales (MoM);Germany;EUR;2
JPY_ConsumerConfidenceIndex;20211001;05:00;Consumer Confidence Index;Japan;JPY;1
IDR_CoreInflation;20211001;04:00;Core Inflation (YoY);Indonesia;IDR;1
IDR_Inflation;20211001;04:00;Inflation (YoY);Indonesia;IDR;1
AUD_InvestmentLendingforHomes;20211001;01:30;Investment Lending for Homes;Australia;AUD;1
AUD_HomeLoans;20211001;01:30;Home Loans;Australia;AUD;1
KRW_NikkeiMarkitManufacturingPMI;20211001;00:30;Nikkei Markit Manufacturing PMI;South Korea;KRW;1
JPY_JibunBankManufacturingPMI;20211001;00:30;Jibun Bank Manufacturing PMI;Japan;JPY;1
EUR_IrePurchasingManagerIndexManufacturing;20211001;00:01;Purchasing Manager Index Manufacturing;Ireland;EUR;1
KRW_TradeBalance;20211001;00:00;Trade Balance;South Korea;KRW;1
